Feature,Importance
Score_Source_2,0.12381597915088118
Score_Source_3,0.11241392833019476
Age_Days,0.09323695247048083
ID_Days,0.09064705363523494
Employed_Days,0.08716311401039957
Loan_Annuity,0.0852585896585145
Phone_Change,0.08246131001000803
Credit_Amount,0.0822208603907093
Client_Income,0.06525806983654812
Credit_Bureau,0.040095320925083035
Cleint_City_Rating,0.016609416311778733
Active_Loan,0.015217581594385826
House_Own,0.013086179937101336
Car_Owned,0.01233736154012078
Client_Gender_Male,0.011795892109427343
Client_Income_Type_Service,0.011240812687538394
Client_Education_Secondary,0.01095860776148383
Client_Permanent_Match_Tag_Yes,0.008773621390619324
Client_Housing_Type_Home,0.008103728046081164
Loan_Contract_Type_RL,0.005433104553552904
Client_Income_Type_Govt Job,0.00487310404525795
Client_Housing_Type_Municipal,0.004447118060058782
Client_Income_Type_Retired,0.0037667893609124896
Client_Education_Graduation dropout,0.0029575641654785824
Client_Housing_Type_Rental,0.00283776740190886
Client_Education_Junior secondary,0.0022647712860906877
Client_Housing_Type_Office,0.001355522760164525
Client_Housing_Type_Shared,0.0012482827364675127
Client_Income_Type_Other,0.00012159583351659092
