ID,Default
12142509,0
12138936,0
12181264,0
12188929,0
12133385,0
12191614,0
12128086,0
12215264,0
12159147,0
12130547,0
12100935,0
12191210,0
12128498,0
12130196,0
12196064,0
12105180,0
12121919,0
12114826,0
12106559,0
12186490,0
12130242,0
12141963,0
12193649,0
12150320,0
12190554,0
12105063,0
12215890,0
12185118,0
12217297,0
12190755,0
12162956,0
12108653,0
12199634,1
12190165,0
12191511,0
12184202,0
12111337,0
12167766,0
12158409,0
12111355,0
12117444,0
12129649,0
12156911,0
12217522,0
12214917,0
12130231,0
12179864,0
12136962,0
12217931,0
12128804,0
12197817,0
12102829,0
12114200,0
12183711,0
12172556,0
12183154,0
12218524,0
12169979,0
12160926,0
12121159,0
12113801,0
12162884,0
12172063,0
12147722,0
12215412,0
12128358,0
12121092,0
12111542,0
12125863,0
12115176,0
12106543,0
12191159,0
12139322,0
12119933,1
12219323,0
12205360,1
12141227,0
12165204,0
12181435,0
12132473,0
12196486,0
12118447,0
12203037,0
12148399,0
12115142,0
12147105,0
12135345,0
12127656,0
12122615,0
12114196,0
12174291,0
12104416,0
12199861,0
12121870,0
12192978,1
12200098,0
12165536,0
12102535,0
12118605,0
12209197,0
12196170,0
12103426,0
12127046,0
12172658,0
12158886,0
12167610,0
12143284,0
12134948,0
12126145,0
12134016,0
12209812,0
12104925,0
12208375,0
12219672,0
12217587,0
12220599,0
12191036,0
12145205,0
12103508,1
12159408,0
12152611,0
12181838,0
12150234,1
12132704,0
12107566,0
12147279,0
12210150,0
12191986,0
12180256,0
12135408,0
12134312,0
12107672,0
12208590,0
12104322,0
12190348,0
12123222,0
12151297,0
12195088,1
12142023,1
12163769,0
12174851,0
12191114,0
12216862,0
12131669,0
12151669,0
12131886,0
12219355,0
12140534,0
12184221,0
12142839,0
12210912,0
12203996,1
12217763,0
12142514,0
12100750,0
12194040,0
12183982,0
12167399,0
12113413,0
12104033,0
12100901,0
12170397,0
12191240,1
12210530,0
12112798,0
12174988,0
12204754,0
12210777,0
12151447,0
12116050,0
12100366,1
12118002,0
12208625,0
12186954,1
12202342,0
12141593,0
12154722,0
12202193,0
12208579,0
12165994,0
12175611,0
12100205,0
12201745,0
12140245,0
12197171,0
12111716,0
12111341,1
12179896,0
12143286,0
12159662,0
12178498,0
12200910,0
12209860,0
12137612,0
12185973,0
12106834,0
12180084,0
12157263,0
12135325,1
12104177,0
12159457,0
12135032,0
12192716,1
12197657,0
12143833,0
12206525,0
12211396,0
12177398,0
12172008,0
12163472,0
12133050,0
12214356,0
12216018,0
12197029,0
12125456,0
12209896,0
12117579,0
12122635,0
12139887,0
12142943,0
12189199,0
12191033,0
12121558,0
12195165,0
12187848,0
12103145,0
12158445,0
12118511,0
12113472,0
12137135,0
12194595,0
12100223,0
12123225,0
12164478,0
12156944,0
12193507,0
12138538,0
12208550,0
12218716,0
12115352,0
12172562,0
12200462,0
12126486,0
12206182,0
12206797,0
12179761,0
12208947,0
12212782,0
12158124,0
12153165,0
12159487,0
12218735,0
12174727,0
12149388,0
12160682,0
12117314,0
12168189,0
12152155,0
12191314,0
12163610,1
12149090,0
12101940,0
12104508,0
12183082,1
12144863,0
12111102,0
12163480,0
12133485,0
12193095,0
12109979,1
12172536,0
12161860,0
12140223,0
12186052,0
12133322,0
12118381,1
12212057,0
12132835,0
12111230,0
12205139,0
12148186,0
12198661,0
12196898,0
12202030,0
12152629,0
12168878,0
12124238,0
12202973,0
12167040,0
12193679,0
12178207,0
12152500,0
12178115,0
12116854,0
12145292,0
12118724,0
12176109,1
12190845,0
12219709,0
12161386,0
12138307,0
12177128,0
12162509,0
12193079,0
12143474,0
12109179,0
12133598,1
12130684,1
12102831,1
12195275,0
12116645,0
12212121,0
12183151,1
12187766,0
12175057,0
12181625,0
12187932,0
12159855,0
12209444,0
12161415,0
12100494,0
12141170,0
12147668,0
12106057,0
12166596,0
12179164,1
12191931,0
12213931,0
12104782,1
12183386,0
12199390,0
12117419,0
12126107,1
12191185,0
12126668,0
12205195,0
12149506,0
12147240,0
12121527,0
12127383,0
12187305,0
12170653,0
12197184,0
12118399,1
12209835,0
12169390,0
12116997,0
12110351,0
12131357,0
12141242,0
12142260,0
12176580,0
12214439,0
12172816,0
12200297,0
12149217,0
12124235,0
12192153,0
12118602,0
12146326,0
12105162,0
12100497,0
12130088,0
12155260,0
12150579,0
12186463,0
12185538,0
12154655,0
12192189,0
12196812,0
12218855,1
12157981,0
12179791,0
12120704,0
12150868,1
12135557,0
12213898,1
12219217,0
12158302,0
12140898,0
12143233,0
12200658,0
12207652,0
12218831,0
12172873,0
12176440,0
12104708,0
12141903,0
12148982,0
12173512,0
12118934,0
12168913,0
12111616,0
12153300,0
12130195,0
12105252,0
12144629,0
12199747,0
12218562,0
12158191,1
12204992,0
12111842,0
12186119,0
12209446,0
12163187,0
12132249,0
12182818,0
12141888,0
12124304,0
12139878,0
12107454,1
12187288,0
12217200,0
12150546,0
12134220,0
12175012,0
12203203,0
12142827,0
12197248,0
12146139,0
12163984,0
12171369,0
12192972,0
12199011,0
12178766,0
12119734,0
12191785,0
12129188,0
12112354,0
12199855,0
12216615,0
12209120,0
12101580,0
12123546,0
12191830,0
12113752,0
12151539,0
