Feature,Importance
Score_Source_2,0.14501361137918214
Score_Source_3,0.10955622424536206
ID_Days,0.09711345317403806
Age_Days,0.09534982448358659
Employed_Days,0.08965416432312868
Loan_Annuity,0.08686115716273861
Credit_Amount,0.0818802895058731
Phone_Change,0.08151510174684189
Client_Income,0.05909873249993167
Credit_Bureau,0.03538861415747632
Cleint_City_Rating,0.01507749966281807
Client_Gender_Male,0.012970052367862578
Car_Owned,0.011935778178858727
House_Own,0.010627650296222362
Active_Loan,0.009631540402093054
Client_Income_Type_Service,0.009143892496706375
Client_Permanent_Match_Tag_Yes,0.00910448173472158
Client_Education_Secondary,0.008249266156880928
Loan_Contract_Type_RL,0.005647949440364282
Client_Income_Type_Govt Job,0.0049688854589128
Client_Housing_Type_Home,0.004924672085326176
Client_Housing_Type_Municipal,0.0036066719441456476
Client_Housing_Type_Rental,0.0031887610036557936
Client_Income_Type_Retired,0.002482090072034294
Client_Education_Junior secondary,0.0019311264996398402
Client_Education_Graduation dropout,0.001862809998599356
Client_Housing_Type_Office,0.0016902452289025457
Client_Housing_Type_Shared,0.00139634673224467
Client_Income_Type_Other,0.0001291075618517903
